City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,sorada,19.75,84.4333,20.39,73,4,1.13,IN,1698607073
144,saudarkrokur,65.7461,-19.6394,-0.8,81,18,3.03,IS,1698607073
145,tiksi,71.6872,128.8694,-13.21,95,100,2.37,RU,1698607073
146,susuman,62.7833,148.1667,-17.79,99,96,0.45,RU,1698607073
147,puerto baquerizo moreno,-0.9,-89.6,28.55,65,20,5.66,EC,1698607073
148,pisco,-13.7,-76.2167,25.03,61,0,9.26,PE,1698607073
149,coquimbo,-29.9533,-71.3436,18.43,58,3,3.54,CL,1698606797
150,port mathurin,-19.6833,63.4167,24.57,79,12,6.72,MU,1698607074
151,sinabang,2.4803,96.3801,25.68,83,100,1.05,ID,1698607074
152,komsomol'skiy,43.9783,46.6985,18.58,39,100,0.97,RU,1698607074
153,new norfolk,-42.7826,147.0587,13.72,65,100,4.34,AU,1698607074
154,ad dawadimi,24.5077,44.3924,24.64,32,99,5.15,SA,1698607074
155,aasiaat,68.7098,-52.8699,-7.0,84,100,1.2,GL,1698607074
156,pizarro,4.9533,-77.366,25.64,84,99,0.9,CO,1698607075
157,grantsville,40.5999,-112.4644,6.61,46,0,2.24,US,1698607075
158,portland,45.5234,-122.6762,12.99,44,0,5.36,US,1698606497
159,redencao,-4.2258,-38.7306,32.68,37,63,6.43,BR,1698607075
160,sur,22.5667,59.5289,27.06,66,91,3.55,OM,1698607075
161,mazamari,-11.3258,-74.5308,29.02,69,99,0.8,PE,1698607075
162,talcahuano,-36.7167,-73.1167,10.82,76,100,8.23,CL,1698606984
163,bredasdorp,-34.5322,20.0403,13.47,58,0,9.28,ZA,1698607075
164,beloyarskiy,63.7119,66.6722,-12.22,97,86,1.34,RU,1698607076
165,mariano,8.8333,125.1167,24.51,92,26,0.96,PH,1698606827
166,verdal,63.7933,11.4817,-3.98,88,90,1.46,NO,1698607076
167,jiazi,22.8779,116.067,22.81,82,100,5.1,CN,1698607076
168,pudasjarvi,65.3833,26.9167,-5.76,96,98,1.29,FI,1698607076
169,sao borja,-28.6606,-56.0044,31.64,58,0,0.72,BR,1698607077
170,namdrik,5.5994,168.1028,28.95,71,20,5.87,MH,1698607077
171,virarajendrapet,12.2,75.8,19.26,96,100,1.26,IN,1698607077
172,nikolayevsk-on-amure,53.1406,140.73,-2.43,91,13,1.45,RU,1698606941
173,sandnessjoen,66.0217,12.6316,-0.94,86,20,2.57,NO,1698607077
174,nanpara,27.8667,81.5,20.15,58,0,2.05,IN,1698607078
175,kui buri,12.0828,99.8543,25.91,84,100,1.8,TH,1698607078
